as_of,record_type,region,sort_order,key,label,market,target,window,method,family,period,week_label,cutoff_day,value,value_label,prior_period,signal,interpretation,status,rank,months,mae,rmse,pearson,forecast,actual,error,note,
2026-07-05,weekly_prediction,eu,9,,EU27,,,,,,Jul-26,Jul W1,5,,,,Stable signal,Weekly nowcast through 2026-07-05 from the ConsumerSim pipeline.,,,,,,,-6.16,-12.23,1.38,,
2026-07-05,weekly_prediction,jp,1,,Japan,,,,,,Jul-26,May W2,10,,,,Improving signal,Weekly nowcast through 2026-05-10 from the ConsumerSim pipeline.,,,,,,,32.37,49.40,59.68,,
2026-07-05,weekly_prediction,jp,2,,Japan,,,,,,Jul-26,May W3,17,,,,Improving signal,Weekly nowcast through 2026-05-17 from the ConsumerSim pipeline.,,,,,,,33.12,46.48,59.54,,
2026-07-05,weekly_prediction,jp,3,,Japan,,,,,,Jul-26,May W4,24,,,,Improving signal,Weekly nowcast through 2026-05-24 from the ConsumerSim pipeline.,,,,,,,32.95,49.40,60.65,,
2026-07-05,weekly_prediction,jp,4,,Japan,,,,,,Jul-26,May W5,31,,,,Improving signal,Weekly nowcast through 2026-05-31 from the ConsumerSim pipeline.,,,,,,,34.45,47.94,60.79,,
2026-07-05,weekly_prediction,jp,5,,Japan,,,,,,Jul-26,Jun W1,7,,,,Improving signal,Weekly nowcast through 2026-06-07 from the ConsumerSim pipeline.,,,,,,,35.12,48.57,58.15,,
2026-07-05,weekly_prediction,jp,6,,Japan,,,,,,Jul-26,Jun W2,14,,,,Improving signal,Weekly nowcast through 2026-06-14 from the ConsumerSim pipeline.,,,,,,,34.53,54.19,56.76,,
2026-07-05,weekly_prediction,jp,7,,Japan,,,,,,Jul-26,Jun W3,21,,,,Improving signal,Weekly nowcast through 2026-06-21 from the ConsumerSim pipeline.,,,,,,,36.95,54.19,60.79,,
2026-07-05,weekly_prediction,jp,8,,Japan,,,,,,Jul-26,Jun W4,28,,,,Improving signal,Weekly nowcast through 2026-06-28 from the ConsumerSim pipeline.,,,,,,,35.95,54.19,60.79,,
2026-07-05,weekly_prediction,jp,9,,Japan,,,,,,Jul-26,Jul W1,5,,,,Improving signal,Weekly nowcast through 2026-07-05 from the ConsumerSim pipeline.,,,,,,,53.62,53.15,55.93,,
2026-07-05,forecast_news,us,1,weekly,"US consumer sentiment climbed in June, Conference Board says",MSN,,,,,Jul-26,Jul W1,,,,,Confidence,Fetched 2026-07-03 for US; headline signal is neutral (+0.00) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMi0gJBVV95cUxPWHdpV1pfUVcxZmJ4TU41VVFuZFhxal9LN0NLRnlaOFI4cTNuODFUR2RVZXZMZzVjVEFCcm1mak9Uc1k0WEhxbGpfb2x0Y2VyT25OX3EtaTAySWU5MGo4ZVlVTFZjMnhYNVNoSVdXT1lmVDFQbXh4MnVzWUlha1I2YmE4R1BPdjJGTDNoei13RVhxSnp2UC10andVXzJaWTM0alpmdXBoM2w1T0drV1RSLXhDVnpxSzdfUmlySGc0S25ZVlRoRmhtT0U2Y0w3alZOSi1ZZUUxamJ3SE9KM2xia0VMdUw1bDlGU0JtcnFBbkUwWVYyMV9kb0JjaDNTUmdyUVQ1V2xrMmdKYTFhLWZYUUI2TV9KLWFmR1lDTDgyOWR2ZElQeHZRdnVIOUhVa3pmcGsyeDRwU216N0JNdHlQWDZxc2d4Y2EwVVVnbERiVTFpQQ?oc=5,
2026-07-05,forecast_news,us,2,weekly,"U.S. Consumer Confidence Ticks Up, but Job Market Worries Keep Outlook Weak",NewsBreak: Local News & Alerts,,,,,Jul-26,Jul W1,,,,,Labor,Fetched 2026-07-01 for US; headline signal is negative (-0.50) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNSFNVN2NvcDFlUHczemJrelJ2RnI2ZHZad1pSQ0hQdnpZSk9iT1pwTHdmUjcwX0dkNmY0S3YzUFkyaUMtNnlJaUVUZFJELVA2Z2JDU1lQNG9YWXhMN1NoVWliZlpUblRtel9PanVlQ29JU09SSGx2YkJESkw0SXRpUGF2eDdiNzdSSW12WjhRRGF5MEtCSk02a2x5bl9FaU1VTzdyQnRnSTQ3ejJNdDh5b0RNeUZIZ2xaRWYtbHJKWUlaSFVWTEdvTXJDZmlqVmdiRERjQnFoNUhGc3g2cVE?oc=5,
2026-07-05,forecast_news,us,3,weekly,US Consumer Confidence,The Conference Board,,,,,Jul-26,Jun W5,,,,,Confidence,Fetched 2026-06-30 for US; headline signal is neutral (+0.00) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMibEFVX3lxTE55NEtKdEpyWFB2eWJwRlBkWGlkZFlMdXA3MENDbkRqLXJwa1RBNC1DZVMyajMxWXlab0VYbWFyT0Mzc3p2UHlOOU1jVG5DZkNkeFNxcnRBZHdub1dpa0hiNWNpRTZkLXhNcHdVNw?oc=5,
2026-07-05,forecast_news,us,4,monthly,"U.S. Consumer Confidence Ticks Up, but Job Market Worries Keep Outlook Weak",NewsBreak: Local News & Alerts,,,,,Jul-26,Jul-26,,,,,Labor,Fetched 2026-07-01 for US; headline signal is negative (-0.50) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNSFNVN2NvcDFlUHczemJrelJ2RnI2ZHZad1pSQ0hQdnpZSk9iT1pwTHdmUjcwX0dkNmY0S3YzUFkyaUMtNnlJaUVUZFJELVA2Z2JDU1lQNG9YWXhMN1NoVWliZlpUblRtel9PanVlQ29JU09SSGx2YkJESkw0SXRpUGF2eDdiNzdSSW12WjhRRGF5MEtCSk02a2x5bl9FaU1VTzdyQnRnSTQ3ejJNdDh5b0RNeUZIZ2xaRWYtbHJKWUlaSFVWTEdvTXJDZmlqVmdiRERjQnFoNUhGc3g2cVE?oc=5,
2026-07-05,forecast_news,us,5,monthly,"US consumer sentiment improves in June, concerns of high cost of living remain",Reuters,,,,,Jul-26,Jun-26,,,,,Inflation,Fetched 2026-06-26 for US; headline signal is positive (+0.50) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMiswFBVV95cUxPdFRlNHB3ZnUwcWE0ZWtmb2x3WlhxOFp6Q0MtTHZRYmZYdm54ZlpSRGRXelVpR2x1STUtRU5vaERGWXd4RXp0VWczSzZJMjNDVjdralV0c0xkdEM2d3lEbmlTMkFsSE1pUG51Z1c5WjA4aUMyNWhJVXpzdVNCN0pHR3JpUEVmbk5TbXhBRUdhUGRsVEpEZTFmMjhFYk1GQ0NZYzNQV1pYaGw1aDY0WkE1YkdlMA?oc=5,
2026-07-05,forecast_news,us,6,monthly,US consumer sentiment improves as gasoline prices ease but sentiment remains subdued,Invezz,,,,,Jul-26,Jun-26,,,,,Inflation,Fetched 2026-06-26 for US; headline signal is positive (+0.50) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOLWNROHZfSnd3ai12dDVlVFFuaEhGNXV0eWNOT2tKTUJ3NzNraDY0M2xDVUF3SjJueE9MczR1Z2JQdzhMbHM3ZXRqR2c5cVJ0MkdRb3Y0UHJWalVRQm5Hd204ZklkMWYzVnJ5VDM1Z2NqNWZ2ZHBFWnpOMFhIQlVDMzdqYm5hMjdiQkd5dkJkS1RKVmRLTGVPTnU5ZU9TRzB0TUhTNzdaUUh0REo0NUpKS1NablRkWWVDeF9Oa29DUnE?oc=5,
2026-07-05,forecast_news,eu,1,weekly,"Germany Retail Sales Surge Past Expectations in May, Up 1.8% Year-on-Year",MEXC,,,,,Jul-26,Jul W1,,,,,News,Fetched 2026-07-04 for EU27; headline signal is neutral (+0.00) with relevance 0.60.,,,,,,,,,,https://news.google.com/rss/articles/CBMiSEFVX3lxTE5YT1lQTkRKeFVsWkRZVEJESHQ5cWtqYWo1bmJYMG1iV1NJN002aXp2VHFNMG02c0RyNjJEN0h6MW14NlhLVTNJMw?oc=5,
2026-07-05,forecast_news,eu,2,weekly,Italy Retail Sales Rise 2.2% In May As Consumer Spending Gains Momentum,Bitcoin World,,,,,Jul-26,Jul W1,,,,,Support,Fetched 2026-07-03 for EU27; headline signal is positive (+0.75) with relevance 0.72.,,,,,,,,,,https://news.google.com/rss/articles/CBMiZkFVX3lxTE0tOW42TF9FWHFlY2ZkQUNYWEQzYThSNXlxSEJHb0ladmtJNTJLVS13Ny1nVDZ0Uk90ZkJ5Um9CRTU4Nkx6ZlFSVTA5UG52WFc2LXBGS2hKLXFYb09mQWJFRXVCUGUxZw?oc=5,
2026-07-05,forecast_news,eu,3,weekly,Inflation in Germany’s North Rhine-Westphalia Eases to 2.1% in June,MEXC,,,,,Jul-26,Jul W1,,,,,Inflation,Fetched 2026-07-03 for EU27; headline signal is neutral (+0.00) with relevance 0.72.,,,,,,,,,,https://news.google.com/rss/articles/CBMiSEFVX3lxTE1GcXFOaWhMdERrbnA5R0RTNDhEeDcxUmo5VDQ5Mm9KckVCaHdsSUVsaERwSnU5ZGlMMnAycHFLVjM1X3VPVThJaA?oc=5,
2026-07-05,forecast_news,eu,4,monthly,Eurozone Household Inflation Expectations Cooled in May,WSJ,,,,,Jul-26,Jun-26,,,,,Inflation,Fetched 2026-06-26 for EU27; headline signal is negative (-0.50) with relevance 1.20.,,,,,,,,,,https://news.google.com/rss/articles/CBMirAFBVV95cUxQMkNpN1R3SW9HYnh3NUs4X0VlcVdUZ0NObHBIX1FPNFgxblRuZVZFSGFubzZ3V1BwcncwcjkzUlhpSG9SQnduTGRqN1VqREVIem5SbUtnajFtSnBqYWpZN3VmRjh5aV9mQlcyMEc4QnpjTVQyc2s2MW1XbGtja0NMM016R1JMQlRnSE5RS1dvSGsyWmtzNkxIUktnQk1FQTBnRVN6MWRLVk9DODBJ?oc=5,
2026-07-05,forecast_news,eu,5,monthly,Italy Retail Sales Rise 2.2% In May As Consumer Spending Gains Momentum,Bitcoin World,,,,,Jul-26,Jul-26,,,,,Support,Fetched 2026-07-03 for EU27; headline signal is positive (+0.75) with relevance 0.72.,,,,,,,,,,https://news.google.com/rss/articles/CBMiZkFVX3lxTE0tOW42TF9FWHFlY2ZkQUNYWEQzYThSNXlxSEJHb0ladmtJNTJLVS13Ny1nVDZ0Uk90ZkJ5Um9CRTU4Nkx6ZlFSVTA5UG52WFc2LXBGS2hKLXFYb09mQWJFRXVCUGUxZw?oc=5,
2026-07-05,forecast_news,eu,6,monthly,Eurozone Retail Sales Fell in April,WSJ,,,,,Jul-26,Jun-26,,,,,Risk,Fetched 2026-06-04 for EU27; headline signal is negative (-0.50) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMihwFBVV95cUxPaFlBd19xSldnSXhjOFFLQUxqMzRZUzBvZi1fbUFSUjhDRm0zU3dVMHJsdW9obUZVUkJzWFhqR2c0NkJxUmw2WDBrUGpvTXJkQXBjOWdjbTFIR2xoTk9xMVRzZUZkNG9RUzZadExUekFLaFFIV3lfcnFxbDRrdm9kbnQ1QktRMjQ?oc=5,
2026-07-05,forecast_news,jp,1,weekly,Wells Fargo: Japan's Wage Data Strengthens Case For BOJ Rate Hikes,Bitcoin World,,,,,Jul-26,Jul W1,,,,,Labor,Fetched 2026-07-03 for Japan; headline signal is neutral (+0.00) with relevance 0.84.,,,,,,,,,,https://news.google.com/rss/articles/CBMicEFVX3lxTFBXT243QjltbEFndnZ6YWxGMjNFMlVuellBR3otcWQ0cmp1cjhkNjJTMHJyWkJ5eTFOdi1UNGFSOVFzeGFGbkF3TU84ZDg1UF9hczMxa21QOXdSUWxKRFJxRVd2bnVZRGhrQVd3M2xxT2c?oc=5,
2026-07-05,forecast_news,jp,2,weekly,"Japan consumer confidence dips below forecasts, fuelling yen weakness and caution on domestic equities",VT Markets,,,,,Jul-26,Jul W1,,,,,Confidence,Fetched 2026-07-01 for Japan; headline signal is negative (-0.50) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMi4AFBVV95cUxONGNkTG9fVVV1R0E0bjQ5eFJJYzV1Z2V1cmdhTENKRlYxbzhHZXowVXNsQUZKOHNKRDlSaXh1TlNIcnZWRGdEdXFxQWxmRXY4ZnkyT2NfUm0zVC1CMjR1MmFmWHhMN3hsWlB5S0VyQjhsZFVhZlVKWG8xVktySXlzQ2tESjNRWEFYNWl1dnVtLWNka3BlbjZvVXVFbWwwNnI2bFhIZjB2NHY3Mk1kdlVIcmhxYnoxS0IxT1JrMlZrUXM0bjRuNnNZV2F3alBxZzB4S05ONHg5M19pNEdLNkNwZw?oc=5,
2026-07-05,forecast_news,jp,3,weekly,Japan nears longest postwar growth even as households struggle,The Edge Malaysia,,,,,Jul-26,Jun W5,,,,,Support,Fetched 2026-06-30 for Japan; headline signal is positive (+0.50) with relevance 0.84.,,,,,,,,,,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5Ed0ZGOHc5a2dnNzNIME1qakYyOGNHZHVaQ3VVUnlEdFJEaGxYWUNaY1JSaUpBZ1hJdGpCWC1pXzE5aElOWElXQVVBXzF6Y1Ry?oc=5,
2026-07-05,forecast_news,jp,4,monthly,"Japan consumer confidence dips below forecasts, fuelling yen weakness and caution on domestic equities",VT Markets,,,,,Jul-26,Jul-26,,,,,Confidence,Fetched 2026-07-01 for Japan; headline signal is negative (-0.50) with relevance 0.96.,,,,,,,,,,https://news.google.com/rss/articles/CBMi4AFBVV95cUxONGNkTG9fVVV1R0E0bjQ5eFJJYzV1Z2V1cmdhTENKRlYxbzhHZXowVXNsQUZKOHNKRDlSaXh1TlNIcnZWRGdEdXFxQWxmRXY4ZnkyT2NfUm0zVC1CMjR1MmFmWHhMN3hsWlB5S0VyQjhsZFVhZlVKWG8xVktySXlzQ2tESjNRWEFYNWl1dnVtLWNka3BlbjZvVXVFbWwwNnI2bFhIZjB2NHY3Mk1kdlVIcmhxYnoxS0IxT1JrMlZrUXM0bjRuNnNZV2F3alBxZzB4S05ONHg5M19pNEdLNkNwZw?oc=5,
2026-07-05,forecast_news,jp,5,monthly,Japan nears longest postwar growth even as households struggle,The Edge Malaysia,,,,,Jul-26,Jun-26,,,,,Support,Fetched 2026-06-30 for Japan; headline signal is positive (+0.50) with relevance 0.84.,,,,,,,,,,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5Ed0ZGOHc5a2dnNzNIME1qakYyOGNHZHVaQ3VVUnlEdFJEaGxYWUNaY1JSaUpBZ1hJdGpCWC1pXzE5aElOWElXQVVBXzF6Y1Ry?oc=5,
2026-07-05,forecast_news,jp,6,monthly,"Japan Large Retailer Sales Surge to 5% in May, Signaling Strong Consumer Demand",CryptoRank,,,,,Jul-26,Jun-26,,,,,Support,Fetched 2026-06-29 for Japan; headline signal is positive (+0.50) with relevance 0.84.,,,,,,,,,,https://news.google.com/rss/articles/CBMifkFVX3lxTE9aMk9iaFhRZjVjYlVaNXBhay1pT1Nlb2FIbWs0NFFZX2w5UlJqOVgyOWFqX0tqR0ZoNUZrd2FKOXhFWEtRWlBsOVRxODNjbWxDMW5EUEZZUUtvSjAyb1RWeDR5Qk5rV1RJWGFBNG5SMTNaMWVsamtNV0ZRUWw4Zw?oc=5,
2026-07-05,region_summary,us,1,,US,North America,University of Michigan Index of Consumer Sentiment,2020-01 to 2026-06,ConsumerSim respondent simulation,simulation,Jul-26,,,38.18,,,Updated by GitHub Actions from the ConsumerSim pipeline.,The latest information environment points to softer household sentiment.,forecast,1,75,3.936,4.879,0.932,38.18,,,,
2026-07-05,region_summary,eu,2,,EU27,Europe,Eurostat consumer confidence indicator,2020-01 to 2026-06,ConsumerSim EU adapted macro + market smoothing,simulation,Jul-26,,,-5.75,,,Updated by GitHub Actions from the ConsumerSim pipeline.,The latest information environment points to a broadly stable confidence path.,forecast,1,75,1.607,2.737,0.882,-5.75,,,,
2026-07-05,region_summary,jp,3,,Japan,Asia,Cabinet Office / ESRI Consumer Confidence Index,2020-01 to 2026-06,ConsumerSim JP adapted macro + market smoothing,simulation,Jul-26,,,51.95,,,Updated by GitHub Actions from the ConsumerSim pipeline.,The latest information environment points to firmer household sentiment.,forecast,1,75,1.35,2.088,0.813,51.95,,,,
2026-07-05,leaderboard,us,1,,ConsumerSim respondent simulation,,,,,ConsumerSim respondent simulation,simulation,,,,,,,,,1,75,3.936,4.879,0.932,,,,,
2026-07-05,leaderboard,us,2,,Autoregressive Ridge (3 lags),,,,,Autoregressive Ridge (3 lags),time_series,,,,,,,,,2,75,4.333,5.689,0.879,,,,,
2026-07-05,leaderboard,us,3,,Expectations Regression,,,,,Expectations Regression,econometric,,,,,,,,,3,75,4.539,6.048,0.894,,,,,
2026-07-05,leaderboard,us,4,,News Semantic FAAR Proxy,,,,,News Semantic FAAR Proxy,text_augmented_regression,,,,,,,,,4,75,4.542,6.155,0.87,,,,,
2026-07-05,leaderboard,us,5,,3-Month Rolling Mean,,,,,3-Month Rolling Mean,time_series,,,,,,,,,5,75,4.876,6.455,0.837,,,,,
2026-07-05,leaderboard,us,6,,SARIMAX Macro (small grid),,,,,SARIMAX Macro (small grid),econometric,,,,,,,,,6,75,5.466,8.47,0.806,,,,,
2026-07-05,leaderboard,us,7,,Theta Model,,,,,Theta Model,time_series,,,,,,,,,7,75,5.709,7.683,0.774,,,,,
2026-07-05,leaderboard,us,8,,ETS Damped Trend,,,,,ETS Damped Trend,time_series,,,,,,,,,8,75,5.724,7.72,0.774,,,,,
2026-07-05,leaderboard,us,9,,Auto ARIMA (small grid),,,,,Auto ARIMA (small grid),time_series,,,,,,,,,9,75,6.328,8.661,0.739,,,,,
2026-07-05,leaderboard,us,10,,Prophet Macro Regressors,,,,,Prophet Macro Regressors,decomposable_additive,,,,,,,,,10,75,6.556,8.324,0.825,,,,,
2026-07-05,leaderboard,us,11,,Prophet Univariate,,,,,Prophet Univariate,decomposable_additive,,,,,,,,,11,75,7.118,8.914,0.678,,,,,
2026-07-05,leaderboard,us,12,,Macro + Market + News Ridge,,,,,Macro + Market + News Ridge,augmented_regression,,,,,,,,,12,75,7.317,16.369,0.558,,,,,
2026-07-05,leaderboard,us,13,,Macro Stable Ridge,,,,,Macro Stable Ridge,macro_regression,,,,,,,,,13,75,7.502,17.121,0.478,,,,,
2026-07-05,leaderboard,eu,1,,ConsumerSim EU adapted,,,,,ConsumerSim EU adapted,simulation,,,,,,,,,1,75,1.607,2.737,0.882,,,,,
2026-07-05,leaderboard,eu,2,,Theta Model,,,,,Theta Model,time_series,,,,,,,,,2,75,1.681,2.848,0.87,,,,,
2026-07-05,leaderboard,eu,3,,ETS Damped Trend,,,,,ETS Damped Trend,time_series,,,,,,,,,3,75,1.833,3.471,0.83,,,,,
2026-07-05,leaderboard,eu,4,,Autoregressive Ridge (3 lags),,,,,Autoregressive Ridge (3 lags),time_series,,,,,,,,,4,75,2.152,4.205,0.749,,,,,
2026-07-05,leaderboard,eu,5,,3-Month Rolling Mean,,,,,3-Month Rolling Mean,time_series,,,,,,,,,5,75,2.216,3.422,0.804,,,,,
2026-07-05,leaderboard,eu,6,,Auto ARIMA (small grid),,,,,Auto ARIMA (small grid),time_series,,,,,,,,,6,75,2.373,4.173,0.767,,,,,
2026-07-05,leaderboard,eu,7,,EU Macro Stable Ridge,,,,,EU Macro Stable Ridge,macro_regression,,,,,,,,,7,75,2.49,4.082,0.834,,,,,
2026-07-05,leaderboard,eu,8,,EU Macro + Market Ridge,,,,,EU Macro + Market Ridge,augmented_regression,,,,,,,,,8,75,2.511,3.81,0.836,,,,,
2026-07-05,leaderboard,jp,1,,ConsumerSim JP adapted,,,,,ConsumerSim JP adapted,simulation,,,,,,,,,1,75,1.35,2.088,0.813,,,,,
2026-07-05,leaderboard,jp,2,,Theta Model,,,,,Theta Model,time_series,,,,,,,,,2,75,1.374,2.063,0.818,,,,,
2026-07-05,leaderboard,jp,3,,Autoregressive Ridge (3 lags),,,,,Autoregressive Ridge (3 lags),time_series,,,,,,,,,3,75,1.393,2.295,0.794,,,,,
2026-07-05,leaderboard,jp,4,,ETS Damped Trend,,,,,ETS Damped Trend,time_series,,,,,,,,,4,75,1.492,2.438,0.798,,,,,
2026-07-05,leaderboard,jp,5,,News Semantic FAAR Proxy,,,,,News Semantic FAAR Proxy,text_augmented_regression,,,,,,,,,5,75,1.55,2.374,0.753,,,,,
2026-07-05,leaderboard,jp,6,,Auto ARIMA (small grid),,,,,Auto ARIMA (small grid),time_series,,,,,,,,,6,75,1.642,2.576,0.778,,,,,
2026-07-05,leaderboard,jp,7,,Expectations Regression,,,,,Expectations Regression,econometric,,,,,,,,,7,75,1.643,2.774,0.76,,,,,
2026-07-05,leaderboard,jp,8,,3-Month Rolling Mean,,,,,3-Month Rolling Mean,time_series,,,,,,,,,8,75,1.816,2.722,0.652,,,,,
2026-07-05,leaderboard,jp,9,,Japan Macro + Market Ridge,,,,,Japan Macro + Market Ridge,augmented_regression,,,,,,,,,9,75,1.951,2.841,0.783,,,,,
2026-07-05,leaderboard,jp,10,,Japan Macro Stable Ridge,,,,,Japan Macro Stable Ridge,macro_regression,,,,,,,,,10,75,1.959,2.997,0.771,,,,,
2026-07-05,series,us,1,,,,,,,,Aug-25,Jul-25,,,,,,,,,,,,,,62.12,61.7,,
2026-07-05,series,us,2,,,,,,,,Sep-25,Aug-25,,,,,,,,,,,,,,63.01,58.2,,
2026-07-05,series,us,3,,,,,,,,Oct-25,Sep-25,,,,,,,,,,,,,,59.61,55.1,,
2026-07-05,series,us,4,,,,,,,,Nov-25,Oct-25,,,,,,,,,,,,,,56.3,53.6,,
2026-07-05,series,us,5,,,,,,,,Dec-25,Nov-25,,,,,,,,,,,,,,55.32,54,,
2026-07-05,series,us,6,,,,,,,,Jan-26,Dec-25,,,,,,,,,,,,,,55.91,54.9,,
2026-07-05,series,us,7,,,,,,,,Feb-26,Jan-26,,,,,,,,,,,,,,57.26,56.4,,
2026-07-05,series,us,8,,,,,,,,Mar-26,Feb-26,,,,,,,,,,,,,,58.65,57.6,,
2026-07-05,series,us,9,,,,,,,,Apr-26,Mar-26,,,,,,,,,,,,,,57.47,56.4,,
2026-07-05,series,us,10,,,,,,,,May-26,Apr-26,,,,,,,,,,,,,,53,53.2,,
2026-07-05,series,us,11,,,,,,,,Jun-26,May-26,,,,,,,,,,,,,,49.50,52.5,,
2026-07-05,series,us,12,,,,,,,,Jul-26,Jun-26,,,,,,,,,,,,,38.18,,53.9,,
2026-07-05,series,eu,1,,,,,,,,Aug-25,Jul-25,,,,,,,,,,,,,,-13.42,-13.2,,
2026-07-05,series,eu,2,,,,,,,,Sep-25,Aug-25,,,,,,,,,,,,,,-13.23,-13.4,,
2026-07-05,series,eu,3,,,,,,,,Oct-25,Sep-25,,,,,,,,,,,,,,-13.39,-13.5,,
2026-07-05,series,eu,4,,,,,,,,Nov-25,Oct-25,,,,,,,,,,,,,,-12.96,-12.5,,
2026-07-05,series,eu,5,,,,,,,,Dec-25,Nov-25,,,,,,,,,,,,,,-12.11,-12.3,,
2026-07-05,series,eu,6,,,,,,,,Jan-26,Dec-25,,,,,,,,,,,,,,-12.4,-12.6,,
2026-07-05,series,eu,7,,,,,,,,Feb-26,Jan-26,,,,,,,,,,,,,,-12.54,-12.8,,
2026-07-05,series,eu,8,,,,,,,,Mar-26,Feb-26,,,,,,,,,,,,,,-11.81,-11.9,,
